Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Verbundzentrale des GBV (VZG),Bibliothekskataloge,https://codingdavinci.de/de/daten/bibliothekskataloge,"Bibliothekskataloge verzeichnen Bücher, Zeitschriften und andere Medien mit bibliographischen Angaben (Titel, Autor, Jahr...) und Exemplardaten (Standort, Signatur, Verfügbarkeit...). Die Verbundzentrale des GBV stellt einheitliche Schnittstellen zum Zugriff auf Kataloge von mehreren Hundert Bibliotheken bereit, darunter alle Hochschulbibliotheken der GBV-Mitglieder Thüringen und Sachsen-Anhalt. Für Sächsische Bibliotheken gibt es teilweise entsprechende Schnittstellen. Konkret können Bibliothekskataloge per SRU-API durchsucht werden (beispielsweise Suche nach einer ISBN oder nach allen Veröffentlichungen eines Autors) und per DAIA-API ermittelt werden, welche Exemplare eines Titels verfügbar oder ausgeliehen sind.
Die Metadaten sind frei verfügbar, sie können aber Verweise auf unfreie Cover, Inhaltsverzeichnisse und andere Mediendateien enthalten.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Medizin und Gesundheit, Natur und Naturkunde, Politik und Militär, Recht und Justiz, Religion und Weltanschauung, Sport und Spiel, Sprache und Literatur, Technik und Wissenschaft, Transport und Verkehr, Wirtschaft und Finanzwesen",,CC0 1.0,"JSON, XML",,,CC0 1.0,,Ost 2018
Universität Leipzig,Leipzig Data,https://codingdavinci.de/de/daten/leipzig-data,"Ziel des Projekts ""Leipzig Data"" als Teil der Leipziger Initiative für Offene Daten ist es, im Namespace einen Kernbestand von Daten über Leipziger Belange als Leipzig Open Data unter der CC-0 Lizenz als Linked Open Data frei verfügbar zu machen und fortzuschreiben. Dazu ist insbesondere eine entsprechende Ontologie zu entwickeln, LEO – die Leipzig Ontology.
Ein solcher Kerndatenbestand als konsensual befestigte gemeinsame Freie Sprache ist die Grundlage auch für die private Freie Rede Freier Bürger über strittige Leipziger Sachverhalte, deren Sichtbarkeit und digitale Unterstützung als Leipzig Data mit der Leipziger Initiative für Offene Daten befördert werden soll, ohne dass sich die Initiative diese Meinungen zu eigen machen oder auch nur gutheißen muss.
Die Daten stehen zum Download bei github sowie über einen RDF Store mit SPARQL Endpunkt bereit. Eine genauere Beschreibung der ""kontrollierten Vokabulare"" (Ontologie) ist auf unseren Webseiten zu finden.
Local-Hero-Datensatz
Nutzungshinweis für Coding da Vinci Ost Projekte 
Dieser Datensatz ist von besonderem Wert für die lokale Vernetzung von Kulturdaten. Projekte, die im Rahmen von Coding da Vinci Ost diesen Datensatz verwenden wollen, sollten zusätzlich mindestens einen weiteren Kulturdatensatz von codingdavinci.de/daten, der nicht als Local-Hero-Datensatz ausgezeichnet ist, verwenden.",,,"Gesellschaft und Alltagsleben, Medien und Information",,"CC0 1.0, The Leipzig Open Data Project",,RDF-Turtle,GND,"CC0 1.0, The Leipzig Open Data Project",,Ost 2018
Universitäts- und Landesbibliothek Darmstadt,Der ewig blühende Garten,https://codingdavinci.de/de/daten/der-ewig-bluehende-garten,"""Der immergrüne oder ewig blühende Garten"" (1795-1829): Botanisches Fachbuch (Tafelband) über Pflanzen der Welt, in Details beschrieben und gemalt. ""Hortus semper virens: exhibens icones plantarum selectiorum"". Jede Pflanze zwei Seiten, Text und Bild. Widmungsexemplar an den Großherzog Ludewig I. von Hessen-Darmstadt.",,,"Medien und Information, Natur und Naturkunde","Bild, Scan eines Fotos, Druckgrafik, Zeichnung",CC0 1.0,XML,,,CC0 1.0,,Rhein-Main 2018
Deutsches Buch- und Schriftmuseum der Deutschen Nationalbibliothek,Deutsche Buchhändler im Porträt,https://codingdavinci.de/de/daten/deutsche-buchhaendler-im-portraet,"Aus der Blattsammlung der Bibliothek des Börsenvereins der Deutschen Buchhändler stammen diese 2.747 Porträts von Druckern, Verlegern, Buchhändlern, Buchbindern, Zensoren und anderen im Buchgewerbe Tätigen vor allem aus dem deutschen Sprachraum. Die Sammlung wurde vom frühen 19. Jahrhundert bis zum Zweiten Weltkrieg durch den Börsenverein zusammengetragen. Es handelt sich teilweise um Originalgrafiken, oft wurden aber auch Reproduktionen aus Publikationen ausgeschnitten. Es dürfte sich um die größte Porträtsammlung zu diesem Thema handeln. Die Porträts liegen als hochauflösende TIFF-Scans vor. Die Dateien sind umfänglich mit Vokabular der GND (Gemeinsame Normdatei) erschlossen. Ausgewählte Konzeptbezüge wie Porträtart (Brust, Halbfigurenbild etc.), grafischen Technik, Größe, Entstehungszeit etc wurden mit der international eingesetzten, sprachunabhängigen Klassifikation ICONCLASS beschrieben.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos, Druckgrafik","CC0 1.0, Deutsche Nationalbibliothek, Deutsches Buch- und Schriftmuseum Leipzig",XML,,GND,"CC0 1.0, Deutsche Nationalbibliothek, Deutsches Buch- und Schriftmuseum Leipzig",,Ost 2018
Universitäts- und Landesbibliothek Darmstadt,Fotosammlung Heil: Ansichten von Darmstadt (1890-1930),https://codingdavinci.de/de/daten/fotosammlung-heil-ansichten-von-darmstadt-1890-1930,Ansichten von Darmstadt auf Fotos und Postkarten,,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos",CC0 1.0,CSV,,,CC0 1.0,,Rhein-Main 2018
Universität Kiel,Das Kieler Gelehrtenverzeichnis,https://codingdavinci.de/de/daten/das-kieler-gelehrtenverzeichnis,"Das Kieler Gelehrtenverzeichnis ist eine Sammlung bio­graphischer Daten über Kieler Hochschul­lehrerinnen und Hochschul­lehrer, die an der Christian-Albrechts-Universität gelehrt haben. Neben den üblichen Lebensdaten wie Geburt und Tod sind detailliert der akademische Werdegang und familiäre Zusammenhänge dokumentiert. Das Verzeichnis enthält außerdem umfangreiche Informationen zur historischen Struktur der Kieler Universität.
Georeferenzen zu Lebens- und Wirkensorten sind mit Hilfe des Genealogischen Ortsverzeichnis (GOV) realisiert.",,,"Bildung und Erziehung, Geschichte und Geografie","Text, Verzeichnis","CC BY-SA 4.0, Kieler Gelehrtenverzeichnis (Christian-Albrechts-Universität)",CSV,RDF-XML,,"CC BY-SA 4.0, Kieler Gelehrtenverzeichnis (Christian-Albrechts-Universität)",,Nord 2016
KENOM – Virtuelles Münzkabinett,KENOM –  das virtuelle Münzkabinett,https://codingdavinci.de/de/daten/kenom-das-virtuelle-muenzkabinett,"Das Projekt KENOM bietet zusammenfassend ein integratives Gesamtkonzept zur Etablierung eines sammlungsübergreifenden virtuellen Münzkabinetts für alle numismatischen Sparten und diverse Besonderheiten verschiedener außereuropäischer Kulturräume. Es bietet einen Zugang über ein „Virtuelles Münzkabinett“ zu den bisher nur ausgewählten Spezialisten offen stehenden Magazinbeständen.
Ziel des Projektes ist es, die digitale Präsenz wissenschaftlich aufbereiteter numismatischer Quellen deutlich zu erhöhen und dauerhaft durch die Bereitstellung entsprechender Werkzeuge die Erschließung zahlreicher weiterer Bestände zu gewährleisten. Es geht dabei um eine Erhöhung und Verbreiterung der Nutzung und um die Intensivierung interdisziplinärer Forschung. Die Numismatik als Integrations- und Brückenfach mit Anknüpfungspunkten zu zahlreichen historischen Nachbarwissenschaften bietet dafür günstige Voraussetzungen. Die Nutzung des Quellenmaterials durch Nachbargebiete ist ganz wesentlich von der Vereinfachung des Zugangs abhängig, der kein besonderes Spezialwissen voraussetzt.
Für Coding da Vinci Nord werden sowohl die hochaufgelösten Original-Aufnahmen von den Münzen und Banknoten als auch die vollständigen Metadaten des virtuellen Münzkabinetts erstmals unter einer offener Lizenz der Öffentlichkeit in vollem Umfang zur Verfügung gestellt.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Technik und Wissenschaft, Wirtschaft und Finanzwesen","Bild, Foto eines 3D Sammlungsobjektes","CC BY-SA 3.0 DE, die besitzende Einrichtung",XML,LIDO-XML,,"CC BY-SA 3.0 DE, die besitzende Einrichtung",,Nord 2016
Berlinische Galerie,Berliner Stadtansichten,https://codingdavinci.de/de/daten/berliner-stadtansichten,"Unter dem Titel „Berliner Stadtansichten“ sind 515 Datensätze mit Fotografien aus dem 19. Jahrhundert zusammengefasst. Sie sind wichtige zeithistorische Dokumente für die Architektur- und Stadtgeschichte Berlins. Vor allem Gebäude und Straßen aus der Zeit des Kaiserreichs sind auf den Aufnahmen der drei Fotografen F. Albert Schwartz (1836–1906), Hermann Rückwardt (1845–1919) und Max Panckow (Lebensdaten unbekannt) zu sehen.
Während Max Panckow im Wesentlichen Häuser und Gärten im Stadium ihrer Fertigstellung fotografierte, dokumentierte F. Albert Schwartz vor allem das barocke und klassizistische Berlin und die Verluste alter Bauwerke angesichts des unaufhaltsamen Fortschritts. Hermann Rückwardt hingegen legte seinen Schwerpunkt auf öffentlich-städtische und repräsentative Bauten.
Die Metadaten zu den Fotografien enthalten Angaben zum Künstler, zum Titel und zur Technik. Das Aufnahmedatum ist nicht immer eindeutig nachvollziehbar, weshalb bei vielen Bildern stattdessen eine Zeitspanne angegeben ist. Geodaten zu den Bildern sind nicht vorhanden, allerdings sind in vielen Bildtiteln Angaben zum Straßennamen oder Gebäude enthalten.
Alle Daten stehen uneingeschränkt und rechtefrei zur Verfügung. Die jeweils zugehörige Bilddatei wird über die recordID im LIDO-Datensatz referenziert.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos","public domain, Berlinische Galerie",XML,LIDO-XML,,"public domain, Berlinische Galerie",,Berlin 2017
Jüdisches Museum Berlin,Druckgrafische Arbeiten von Hermann Struck (1876-1944),https://codingdavinci.de/de/daten/druckgrafische-arbeiten-von-hermann-struck-1876-1944,"Hermann Struck stand künstlerisch dem Impressionismus und der Berliner Secession nahe. Als Orthodoxer Jude engagierte er sich in der religiös-zionistischen Bewegung. Bedeutend ist seine druckgraphischen Arbeiten. seine Serien von Radierungen und Lithographien zeigen Landschaften (Schlesien, Palästina, Venedig, Amerika), Porträts (Juden, Kriegsgefangene, berühmte Persönlichkeiten) oder Eindrücke aus dem Baltikum während des Ersten Weltkrieges („Ober-Ost“).
Bereitgestellt werden Bilddateien von 516 Grafiken; über die Dateinamen kann eine Referenz zu den Metadaten hergestellt werden. Porträts bekannter Persönlichkeiten sind auf die GND verlinkt. Alle Daten sind mit Schlagworten aus dem hauseigenen Thesaurus zur deutsch-jüdischen Geschichte erschlossen; darüber können Bezüge zwischen den Blättern hergestellt werden (z.B. Thema „Erster Weltkrieg“, „Reise“, „Porträt“). Enge Bezüge zwischen Daten (Zugehörigkeit zu Graphikmappen) sind ausgewiesen. Die einzelnen Datensätze enthalten jeweils einen Link zur Präsentation des entsprechenden Datensatzes auf  objekte.jmberlin.de  .",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Religion und Weltanschauung","Bild, Foto eines 3D Sammlungsobjektes, Bildnis (Porträt), Druckgrafik","CC BY-SA, Hermann Struck / Jüdisches Museum Berlin",CSV,,GND,"CC BY-SA, Jüdisches Museum Berlin",,Berlin 2015
Leibniz-Institut für Astrophysik Potsdam (AIP),Sterne und Himmelskörper auf Photoplatte,https://codingdavinci.de/de/daten/sterne-und-himmelskoerper-auf-photoplatte,"Das Leibniz-Institut für Astrophysik Potsdam (AIP) digitalisiert - im Verbund mit der Hamburger Sternwarte und der Dr. Remeis-Sternwarte in Bamberg - Archiv-Bestände historischer astronomischer Photoplatten, um diese als Kulturgüter zu erhalten. Die Langzeitreihen astronomischer Beobachtungen liefern zudem wertvolle Informationen, die mithilfe moderner astronomischer Datenverarbeitungsmethoden gesichert werden können. Das Projekt wird von der DFG unterstützt.
Über das Web-Archiv APPLAUSE (Archives of Photographic PLates for Astronomical USE), das vom AIP gehostet wird, sind die Daten frei zugänglich und mit einer CC0-Lizenz abrufbar.
Die jetzt veröffentlichten Daten umfassen 25.612 Scans von 19.335 Fotoplatten aus Bamberg, Hamburg und Potsdam, die in den Jahren 1909-1976 entstanden sind. Mit der im Projekt entwickelten Software „PyPlate“ konnten aus diesen Digitalisaten 1,66 Milliarden Quellen extrahiert werden. Über ihre Positionsdaten und Helligkeiten wurde bislang mehr als die Hälfte in anderen Sternkatalogen identifiziert. Zusätzlich enthält das Archiv 26.526 digitalisierte Aufnahmen von Plattenhüllen und Logbuch-Einträgen aus 77 Logbüchern.
Der erste Datenrelease publiziert insgesamt 17 Terabyte an Datenmaterial, das über Datenbankkataloge effizient zugänglich ist. Die digitalisierten Platten erfassen 98,9 Prozent des gesamten Himmels. Neben Sternen sind auf den Photoplatten auch Himmelskörper des Sonnensystems zu sehen.",,,"Natur und Naturkunde, Technik und Wissenschaft","Bild, Scan eines Fotos","CC0 1.0, siehe https://www.plate-archive.org/applause/project/disclaimer/",XML,FITS,,"CC0 1.0, siehe https://www.plate-archive.org/applause/project/disclaimer/",,Nord 2016
DBpedia Association,DBpedia Dataset,https://codingdavinci.de/de/daten/dbpedia-dataset,"DBpedia ist ein Gemeinschaftsprojekt der Universität Leipzig und anderen Institutionen, mit dem strukturierte Informationen aus Wikipedia extrahiert und Webanwendungen zugänglich gemacht werden können. DBpedia ermöglicht es weiterhin, diese Daten mit Informationen aus anderen Web-Anwendungen zu verbinden.Wikipedia-Artikel bestehen meistens aus normalem Fließtext, enthalten aber andererseits auch strukturierte Informationen, beispielsweise Infoboxen, Tabellen, Kategorien, geographische Koordinaten und Weblinks. Diese Informationen können extrahiert und als Datenbasis für fortgeschrittene Fragen verwendet werden. Als Standard für die Daten wird das Resource Description Framework (RDF) benutzt. Als Quelle werden verschiedene Sprachversionen (Niederländisch, Japanisch, Englisch, Deutsch, Portugiesisch) von Wikipedia verwendet.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Medizin und Gesundheit, Natur und Naturkunde, Politik und Militär, Recht und Justiz, Religion und Weltanschauung, Sport und Spiel, Sprache und Literatur, Technik und Wissenschaft, Transport und Verkehr, Wirtschaft und Finanzwesen",,CC BY-SA 3.0,,RDF-XML,,CC BY-SA 3.0,,Ost 2018
Museum Burg Posterstein,Portraits als Fabelwesen,https://codingdavinci.de/de/daten/portraits-als-fabelwesen,"Im Jahr 2014 konnte das Museum Burg Posterstein über eine Landesförderung und mit Unterstützung der Bürgerstiftung Altenburger Land eine einmalige Sammlung von Portraitzeichnungen der 1819/1820 am Musenhof Löbichau der Herzogin von Kurland (1761-1821) anwesenden Gäste ankaufen. Die Sammlung stammt aus dem Besitz von Emilie von Binzer (1801-1891). Die 47 aquarellierten Zeichnungen fertigte bis auf eine der Maler Ernst Welker (1784/88-1857) an. Die portraitierten Löbichauer Gäste gehören alle zum engen Umfeld der Herzogin von Kurland. Die historischen Persönlichkeiten treten als Fabelwesen auf, deren Kopf Welker durch ein Portrait der entsprechenden Person ersetzte und sind alle mit einem zweizeiligen Reim versehen. Der Datensatz umfasst hochauflösende Scans der Zeichnungen sowie Informationen zu den abgebildeten historischen Personen. Darunter sind die Herzogin selbst, ihre Töchter, Herzog August von Sachsen-Gotha-Altenburg und zahlreiche Persönlichkeiten des damaligen kulturellen Lebens.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Zeichnung","CC BY-SA 4.0, Museum Burg Posterstein",,,,"CC0 1.0, Museum Burg Posterstein",,Ost 2018
Universitäts- und Landesbibliothek Darmstadt,Flora Graeca: Die Pflanzenwelt Griechenlands,https://codingdavinci.de/de/daten/flora-graeca-die-pflanzenwelt-griechenlands,"Flora Graeca ist das erste umfassende Werk über die Pflanzenwelt Griechenlands. Das zehnbändige Werk ist entstanden auf der Grundlage der Zeichnungen des österreichischen Zeichners Ferdinand Lucas Bauer.
Ferdinand Bauer hat knapp 1.000 Bleistiftskizzen während einer Forschungsreise vom März 1786 bis Dezember 1787 nach dem östlichen Teil des Mittelmeeres unter der Leitung des englischen Botanikers John Sibthorp (1758–1796) erstellt. Nach der Expedition fertigte er in fünfjähriger Arbeit 966 Aquarelle an. Die Farbtafeln wurden mit Kupferstichplatten gedruckt, die auf der Grundlage der Aquarelle angefertigt worden waren. Die Drucke wurden anschließend handkoloriert.
Nach dem unerwarteten Tod von Sibthorp hat James Edward Smith zuerst 1806 bis 1813 zwei Textbände unter dem Titel „Florae Graecae Prodromus“, dann 1806 bis 1828 sechs Bände mit Farbtafeln und Begleittext unter dem Titel „Flora Graeca Sibthorpiana“ herausgegeben. Der siebente Band ist nach Smiths Tod im Jahre 1830 erschienen. Drei weitere Bände hat John Lindley (1799–1865) in den Jahren von 1833 bis 1840 veröffentlicht. Insgesamt besteht die Flora Graeca somit aus zehn Bänden in Großfolio.
Von der ersten Auflage sind nur ca. 25 Exemplare ausgeliefert worden. Sie enthält 966 handkolorierte Tafeln. Der Verkaufspreis der Erstauflage von ca. 250 £ lag deutlich unter dem Herstellungspreis von ca. 620 £. Das Defizit wurde durch eine Stiftung von John Sibthorp getragen.",,,"Kunst und Kultur, Natur und Naturkunde, Technik und Wissenschaft","Bild, Druckgrafik, Zeichnung",CC0 1.0,"CSV, XML",,,CC0 1.0,,Rhein-Main 2018
Johannes Gutenberg-Universität Mainz,Gutenberg Biographics - Mainzer Professorenkatalog,https://codingdavinci.de/de/daten/gutenberg-biographics-mainzer-professorenkatalog,"Gutenberg Biographics ist ein Gemeinschaftsprojekt der Universitätsbibliothek Mainz, des Forschungsverbunds Universitätsgeschichte, der Akademie der Wissenschaften und Literatur | Mainz und des Instituts für geschichtliche Landeskunde an der Universität Mainz. Der Katalog soll biographische Informationen zu allen Professorinnen und Professoren sowohl der Johannes Gutenberg-Universität als auch der frühneuzeitlichen Mainzer Universität bereitstellen.
Im Katalog sind bislang alle Rektoren sowie die Gründungsprofessoren der Johannes Gutenberg-Universität Mainz mit Volleinträgen vorhanden. Eine Vielzahl weiterer Professoren wurde mit Basisdaten aufgenommen. In der ersten Bearbeitungsstufe werden alle Professoren der Johannes Gutenberg-Universität Mainz bis 1973 erfasst.",,,"Bildung und Erziehung, Geschichte und Geografie","Text, Verzeichnis","CC BY 4.0, Gutenberg Biographics - Universitätsbibliothek Mainz",XML,TEI,,"CC BY 4.0, Gutenberg Biographics - Universitätsbibliothek Mainz",,Rhein-Main 2018
Architekturmuseum der TU Berlin,Theaterbausammlung des Architekturmuseums der TU Berlin,https://codingdavinci.de/de/daten/theaterbausammlung-des-architekturmuseums-der-tu-berlin,"Die Theaterbausammlung, ein als Bestandteil des Architekturmuseums der TU Berlin, enthält Materialien aus dem Zeitraum 1939-1969 zu über 500 Theaterbauten in Deutschland, Österreich, Frankreich, Slowenien, Polen, der Tschechischen Republik und Russland. Die bildlichen Quellen - Grundrisse, Schnitte, Fotografien und Schrift-Dokumente - geben einen fundierten Einblick über Situierung, Umfang und Zustand mitteleuropäischer Kulturbauten im 20. Jahrhundert.
Einerseits bildet die Sammlung eine Bestandsaufnahme der visionären Entwicklungen der 20er und 30er Jahre, andererseits dokumentieren die Objekte sowohl Stagnation als auch Rückbau während des Dritten Reichs von 1933 bis 1945. Zugleich gibt die Sammlung wertvolle Einblicke in die Visionen des architektonischen Aufbruchs der Nachkriegsmoderne bis in die 60er und 70er Jahre – dies am Beispiel Gerhard Graubners, der zu den wegweisenden bundesrepublikanischen Theaterarchitekten gehörte (nachkriegsmoderne Theaterbaukunst in Bochum, Wuppertal oder der Umbau des Nationaltheaters in München). Von 2016 bis 2018 konnten die 5.000 Objekte durch eine DFG Finanzierung erfasst, inventarisiert und digitalisiert werden.
Folgende Sammlungsbestandteile sind auszumachen:
Inv.-Nr. GruppenInhaltObjektzeit
TBS 000-320GBI Bestand zum Handbuch „Das Deutsche Theater“ca 1940
TBS 400 ffNachlass Friedrich Kranich (Festspielhaus Bayreuth / Akustikgutachten Jahrhunderthalle Breslau 1936, Theater und Freiluftstätten in Sachsen u.a.ca 1940-1946",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Scan eines Fotos, Zeichnung","CC BY 4.0, Theaterbausammlung des Architekturmuseums der TU Berlin",XML,LIDO-XML,,"CC0 1.0, Theaterbausammlung des Architekturmuseums der TU Berlin",,Rhein-Main 2018
Musikinstrumentenmuseum der Universität Leipzig,Die Musikdatenbank MusiXplora,https://codingdavinci.de/de/daten/die-musikdatenbank-musixplora,"Die Sammlung MusiX im Musikinstrumentenmuseum verknüpft biografische Daten von Personen des Musiklebens (KomponistInnen, InterpretInnen, InstrumentenbauerInnen, MäzenInnen, SammlerInnen) mit Metadaten ihrer Wirkungsorte. Die Personen sind mit verbreiteten Identifikatoren wie GND, VIAF oder Q versehen. Damit lassen sich auch weitere Datenquellen erschließen und verknüpfen.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur",,"CC BY-SA 3.0 DE, Musikinstrumentenmuseum der Universität Leipzig",JSON,,"GND, VIAF","CC BY-SA 3.0 DE, Musikinstrumentenmuseum der Universität Leipzig",,Ost 2018
Sächsische Akademie der Wissenschaften zu Leipzig,Reformation im Kontext frühneuzeitlicher Staatswerdung,https://codingdavinci.de/de/daten/reformation-im-kontext-fruehneuzeitlicher-staatswerdung,"Kurfürst Friedrich der Weise und sein Nachfolger Johann der Beständige waren Schlüsselgestalten der frühen Reformationsgeschichte. Als Landesherren Martin Luthers schufen sie den politischen Rahmen für die Ausbreitung und Verfestigung der Wittenberger Reformation im wettinisch beherrschten mitteldeutschen Raum und darüber hinaus.
Das Editionsprojekt macht die kirchenpolitischen Akten und Briefe 1513 bis 1532 dieser beiden herausragenden Reformationsfürsten erstmals in einer gedruckten und einer elektronischen Fassung für die kirchen- und allgemeinhistorische Forschung zugänglich.
Unter  http://bakfj.saw-leipzig.de  präsentiert das Projekt seit November 2015 seine Arbeitsergebnisse digital. Vorerst sind die Metadaten (Absender, Empfänger, Orte, Datierung) der aufgenommenen Quellen recherchierbar. Nach und nach werden die Regesten und Editionen ergänzt.
Das Datenset besteht ausschließlich aus Metadaten der erfassten Briefe der Sammlung und umfasst die Absender, Adressaten, Absendeort, Briefdatum und sofern bereits vorhanden, die Briefnummer der Druckausgabe. Personen und Orte sind bis auf wenige Ausnahmen mit GND-Identifiern versehen.",,,"Geschichte und Geografie, Politik und Militär, Religion und Weltanschauung",,"CC BY 4.0, Sächsische Akademie der Wissenschaften zu Leipzig",XML,,GND,"CC BY 4.0, Sächsische Akademie der Wissenschaften zu Leipzig",,Ost 2018
Berlinische Galerie,Briefe und Texte aus dem Nachlass von Raoul Hausmann,https://codingdavinci.de/de/daten/briefe-und-texte-aus-dem-nachlass-von-raoul-hausmann,"Das Konvolut von ausgewählten Briefen und Texten aus dem Nachlass des Künstlers Raoul Hausmann dokumentiert den gedanklichen Austausch des selbsternannten ""Dadasophen"" mit Zeitgenossen. Darunter sind Johannes Baader, Adolf Behne, Otto Freundlich, Werner Gräff, Franz Jung, Ludwig Mies von der Rohe, Lázló Moholy-Nagy, Hans Richter, Franz Roh, Kurt Schwitters, Arthur Segal und Franz Wilhelm Seiwert. In den Dokumenten (u.a. Manuskripte) kommen Dada Zürich und Dada Berlin zur Sprache, Liebe und Sexualität, Bauhaus und Konstruktivismus, Fotografie, Fotomontage und Film, Optik und Optophonetik, Tanz und Männerkleidung, die utopischen Entwürfe einer biodynamischen Naturanschauung und biogenetischen Psychologie. Die weit gefächerte Thematik reflektiert die Erschütterungen und Leitgedanken des ersten Jahrhundertdrittels: das Desaster des ersten Weltkriegs, die Suche nach einem neuen Menschenbild und nach neuen Formen des Zusammenlebens, die umwälzenden Entdeckungen der Psychoanalyse und der Physik und die Schatten, die der Nationalsozialismus wirft. Raoul Hausmann, der 1920 Dada zum „Scharfrichter der bürgerlichen Seele“ ernannte, erscheint selbst als Scharfrichter sui generis, der die offizielle Politik, Kultur, Wissenschaft und die Künstlerkarrieren seiner erfolgreichen Kollegen in der Weimarer Republik mit satirischer Schärfe verurteilt. Die 186 aus der Erschließungsdatenbank ausgewählten Datensätze aus dem Nachlass Raoul Hausmann erhalten neben Angaben zu Korrespondenzpartnern und Datierungen auch Scans sowie die kompletten Transkriptionen der Briefe und Manuskripte. Zusätzlich wurden zu den Personendaten auch die jeweilige URL der Gemeinsamen Normdatei (GND) erfasst.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Text, Autograf, Bericht, Korrespondenz, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos","CC BY-SA 3.0, Berlinische Galerie - Nachlass Raoul Hausmann",XML,"METS/MODS, TEI",,"CC BY-SA 3.0, Berlinische Galerie - Nachlass Raoul Hausmann",,Berlin 2015
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,"Manier, Mythos und Moral – Niederländische Druckgrafik um 1600",https://codingdavinci.de/de/daten/manier-mythos-und-moral-niederlaendische-druckgrafik-um-1600,,"Mit dem von Prof. Iris Wenderholm an der Universität Hamburg durchgeführten Lehr- und Ausstellungsprojekt „Manier, Mythos und Moral“ wurde einer der wertvollsten und für Hamburger Sammlungen der Frühen Neuzeit aussagekräftigsten Teilbestände der Kupferstichsammlung wissenschaftlich erschlossen und digitalisiert. Mit „Manier“ ist der epochengebundene Stil des Manierismus gemeint, mit „Mythos“ wird auf die beliebten Motive aus der antiken Mythologie angespielt und mit „Moral“ werden die durch Bildinschriften zugewiesenen, meist moralischen Deutungen beschrieben. Der Wert der Stiche liegt ohne Zweifel in ihrer künstlerischen Qualität, bei einigen zusätzlich in ihrer Seltenheit. Zugleich spiegelt dieser Teilbestand den Schwerpunkt Hamburger Privatsammlungen wieder, die sich vornehmlich durch niederländische Kunstwerke auszeichneten. Die 161 digitalisierten Kupferstiche zeigen vor allem Allegorien, d.h. Symbole und Personifizierungen, z.B. für verschiedene Charaktere, die fünf Sinne, Tugenden und Sünden der Menschen oder auch für die vier Elemente, Planeten und Kontinente, in einem kunstsinnigen Zusammenspiel von Wort und Bild. Dabei lassen sich die Blätter in so genannte Denkräume clustern. Darstellungen zum Einfluss der Götter oder Sterne auf die Menschen gehören zu der für die Frühe Neuzeit zentralen Vorstellung einer gegenseitigen Bedingtheit von Mikrokosmos und Makrokosmos. Ordnungssysteme wie Jahres- und Tagzeiten, die Kontinente oder die hier immer wiederkehrende Zahl „vier“ sowie die Allegorisierung menschlicher Fähigkeiten und der Vergänglichkeit des Lebens gehören ebenfalls dazu. Interessant sind die unterschiedlichsten, mitunter sehr ideenreichen und doch ähnlichen Darstellungen der sieben Tugenden und Todsünden. Und schließlich sind da die mythologischen Szenen, die vor allem mit der Darstellung der Götterliebschaften das Wohl und Weh der Liebe visualisieren. Beinahe jedes Detail, und sei es noch so klein, jede Figur, jedes Objekt, jede Szene ist in diesen Stichen bedeutungsschwanger und damit beachtenswert. Deutungshilfe geben die Texte in den Kupferstichen, die alle übersetzt und publiziert wurden in: Manier, Mythos und Moral: niederländische Druckgraphik um 1600 aus den Beständender Staats- und Universitätsbibliothek Hamburg / Iris Wenderholm (Hg.). Petersberg: Imhof,2014. (Publikationen der Staats- und Universitätsbibliothek Carl von Ossietzky; 6). Die Publikation wird zur Verfügung gestellt. Die Metadaten enthalten in aller Regel Angaben zu den Künstlern, Titeln, Titelreihen, Format und Entstehungsdaten. Kontrolliertes Vokabular: über den Kataloglink als Erschließungselemente erreichbar.",,"Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Foto eines 3D Sammlungsobjektes","CC BY 4.0, Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky",XML,METS/MODS,,"CC BY 4.0, Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky",,Berlin 2015
