Name,URL (CdV),Kurzbeschreibung,Beschreibung,Links,Lizenz des Quellcodes,Datensätze,Projekttyp,Bild,Event
Interaktive Karte für euregio-history.net,https://codingdavinci.de/de/projects/2019_west/euregiohistoryMap.html,Visualisierung der Geschichten auf euregio-history.net auf einer interaktiven Karte,"Die euregio-history sammelt Zeitzeugengeschichten im Grenzgebiet Niederlande-Deutschland. Aktuell (2019) existieren um die 70 Geschichten. Diese sind mit rudimentären Metadaten versehn, u.a. auch mit Ortsnamen. Das Miniprojekt ermöglicht es, diese Erzählungen auf einer Karte zu visualisieren – so wird der räumliche Bezug übersichtlich hergestellt. Zudem bietet die interaktive Karte eine weitere Möglichkeit der Selegierung dieser Grenzgeschichten.

Ein paar Skripte sind nötig, um aus den originären Städtenamen der Metadaten ein Matching auf Wikidata-Entitäten zu erzeugen. Von Wikidata lassen sich dann Geo-Daten holen. Diese werden mit einem Teil der Titeldaten von euregio-history in einer geojson-Datei gespeichert. Mittels Javascript wird diese Datei auf einer interaktiven OpenStreetMap dargestellt.

Die Datensets werden mittels Java und einigen Bash-Skripten sowie den offenen Web-APIs von Wikidata erzeugt. Die Webapp basiert auf der Javascript leaflet-Library.

Projektpräsentation bei der Preisverleihung von Coding da Vinci Westfalen-Ruhrgebiet 2019: PDF","Website (https://euregio-history.net/), GitHub (https://github.com/dr0i/euregio-history-map)",MIT license,"euregio-history.net, Verknüpfung zu Wikidata","web app, visualization","euregiohistoryMap.jpg, CC0 1.0",Westfalen-Ruhrgebiet 2019
Crawling Feminism,https://codingdavinci.de/de/projects/2019_west/fculture.html,"Crawling von Google-Bildern zu Suchbegriffen in verschiedenen Ländern, um deren Sicht auf Feminismus, Freiheit und Gleichberechtigung zu verdeutlichen","Eine Ansicht über die Welt und ihre Mode. Der Bikini gilt als Symbol der Freiheit und Gleichberechtigung im internationalen Kontext.

Es werden die ersten Google-Bilder aus unterschiedlichen Ländern der Welt zu den bestimmten Begriffen gecrawlt. Die sortierte Einordnung erfolgt in einer Tabelle.

Projektpräsentation bei der Preisverleihung von Coding da Vinci Westfalen-Ruhrgebiet 2019: PDF",Website (https://fculture.de/),Common Development and Distribution License,"Außenansicht Museumsgebäude und Skulpturen im Außenraum für die Öffentlichkeitsarbeit, Das große Swimwear Quiz by BikiniARTmuseum","mobile app, web app, website, visualization","crawling_feminism.jpg, CC BY-SA 3.0 DE, Sandra Becker",Westfalen-Ruhrgebiet 2019
Sounds without meaning,https://codingdavinci.de/de/projects/2019_west/sounds_without_meaning.html,Unendlicher Strom akustischer und visueller Eindrücke aus verschmolzenen industriellen Geräuschen und Bildern – zur Zerstreuung und Entspannung,"Die Anwendung “Sounds without meaning” komponiert mittels einfacher Algorithmen einen unendlichen Strom akustischer und visueller Eindrücke aus verschmolzenen industriellen Geräuschen und Bildern. Diese Eindrücke der Klänge und Farben sollen der Zerstreuung und der Entspannung dienen, ohne Wissen zu vermitteln oder zur Kreativität aufzufordern. “Sounds without meaning” möchte die Aufmerksamkeit der Zuhörerinnen und Zuhörer binden, ohne Konkretes zu sagen. Ein Raum soll entstehen, in den sich die Zuhörer fallen lassen können, in dem sie aufmerksam sein können, ohne gefordert zu sein, in dem sie unaufmerksam sein können, ohne etwas zu vernachlässigen. Der Autor hat die Anwendung ursprünglich für seine persönliche Verwendung erstellt, an den eigenen subjektiven Empfindungen und Bedürfnissen ausgerichtet und schließlich als Open Source-Software veröffentlicht.

“Sounds without meaning” wurde in Javascript auf der Basis des React Frameworks entwickelt und läuft direkt im Webbrowser. Es handelt sich um eine Progressive Web App (PWA), die auf kompatiblen Geräten auch lokal installiert werden kann. Es wurden Daten des LWL-Industriemuseums, des Museums für Druckkunst Leipzig sowie eigene Daten des Autors verwendet. Alle Daten und die Software sind unter freien Lizenzen verfügbar.","Website (https://swom.app/), GitHub (https://github.com/leanderseige/soundswithoutmeaning)",GNU General Public License (GPL),"Druckmaschinensounds, Sound-Archiv ""Work with Sounds""/""Sounds of Changes""",remix,"sounds_without_meaning.jpg, CC BY 4.0, Leander Seige",Westfalen-Ruhrgebiet 2019
Sounds without meaning,https://codingdavinci.de/en/projects/2019_west/sounds_without_meaning.html,An unending stream of acoustic and visual impressions from industrial sounds and pictures – to distract and relax,"Die App “Sounds without meaning” komponiert mittels einfacher Algorithmen einen unendlichen Strom akustischer und visueller Eindrücke aus verschmolzenen industriellen Geräuschen und Bildern. Diese Eindrücke der Klänge und Farben sollen der Zerstreuung und der Entspannung dienen, ohne Wissen zu vermitteln oder zur Kreativität aufzufordern. “Sounds without meaning” möchte die Aufmerksamkeit der Zuhörerinnen und Zuhörer binden, ohne Konkretes zu sagen. Ein Raum soll entstehen, in den sich die Zuhörer fallen lassen können, in dem sie aufmerksam sein können, ohne gefordert zu sein, in dem sie unaufmerksam sein können, ohne etwas zu vernachlässigen. Der Autor hat die Anwendung ursprünglich für seine persönliche Verwendung erstellt, an den eigenen subjektiven Empfindungen und Bedürfnissen ausgerichtet und schließlich als Open Source-Software veröffentlicht.

“Sounds without meaning” wurde in Javascript auf der Basis des React Frameworks entwickelt und läuft direkt im Webbrowser. Es handelt sich um eine Progressive Web App (PWA), die auf kompatiblen Geräten auch lokal installiert werden kann. Es wurden Daten des LWL-Industriemuseums, des Museums für Druckkunst Leipzig sowie eigene Daten des Autors verwendet. Alle Daten und die Software sind unter freien Lizenzen verfügbar.","Website (https://swom.app/), GitHub (https://github.com/leanderseige/soundswithoutmeaning)",GNU General Public License (GPL),"Druckmaschinensounds, Sound-Archiv ""Work with Sounds""/""Sounds of Changes""",remix,"sounds_without_meaning.jpg, CC BY 4.0, Leander Seige",Westfalen-Ruhrgebiet 2019
webARei,https://codingdavinci.de/de/projects/2019_west/webARei.html,"Augmented Reality-Guide (mit Bildern, Videos, Texten und Sounds) für die Weberei im LWL-Industriemuseum TextilWerk Bocholt","Der analoge Raum wird um den digitalen Raum erweitert: Augmented Reality-Guide (mit Google Glass Enterprise 2) für die Weberei im LWL-Industriemuseum TextilWerk Bocholt. Bilder, Videos, Texte, Sounds und AR können in mehreren Sprachen genutzt werden, um die Ausstellung lebendiger, sensueller und erfahrbarer zu machen und zeitgleich zu kontextualisieren. An den Beispielen der historischen Webstühle des Textilwerks Bocholt wird die Umsetzung dieser Anwendung gezeigt. Für die Entwicklung werden Beacons und eine Datenbrille von Google benutzt. Datensätze: Sounds of Changes des LWL-Industriemuseums + Filme & Bilder.

Projektpräsentation bei der Preisverleihung von Coding da Vinci Westfalen-Ruhrgebiet 2019: PDF",GitHub (https://dev.azure.com/Tasty-IT/_git/SpinnARei),MIT license,"Sound-Archiv ""Work with Sounds""/""Sounds of Changes""",AR,"webARei.jpg, CC0 1.0",Westfalen-Ruhrgebiet 2019
[Blomberg] VARsetzen | AR-Teil,https://codingdavinci.de/de/projects/2019_west/blombergVARsetzen_AR.html,Die Fachwerkstruktur des Hauses Blomberg und dessen Translozierung wird mittels Augmented Reality visualisiert und greifbar gemacht.,"Darstellung vorhandener Daten bzgl. der Translozierung in modernen Medien am Beispiel des Bürgerhauses Blomberg im LWL-Freilichtmuseum Detmold. Wie lässt sich das Wissen in den beiden neuen Medien VR und AR unterschiedlich vermitteln?

Unser Ziel ist es, Fassaden von Gebäuden mittels vorhandener Bilddaten zu erkennen und zu augmentieren. Die grundlegenden Technologien und Techniken sollen hier prototypisch anhand des Hauses Blomberg des LWL-Freilichtmuseums Detmold erprobt werden und somit den Weg bereiten für zukünftige Weiterentwicklungen. Der Prototyp soll mittels der Augmentierung die Fachwerkstruktur des Gebäudes visualisieren und dem Nutzer die Translokation des Gebäudes vermitteln.

Projektpräsentation bei der Preisverleihung von Coding da Vinci Westfalen-Ruhrgebiet 2019: PDF","Website (http://cdv.bokundgaertner.de/), GitHub (https://github.com/bokundgaertner/CDV_Detmold)",GNU General Public License (GPL),Originalstandorte & originelle Standorte. Das Nicht-Sichtbare sichtbar machen,"AR, mobile app","blombergVARsetzen_AR.jpg, CC BY 4.0, Bok und Gärtner",Westfalen-Ruhrgebiet 2019
[Blomberg] VARsetzen | VR-Teil,https://codingdavinci.de/de/projects/2019_west/blombergVARsetzen_VR.html,Mithilfe einer VR-Brille können die Besucher*innen des Freilichtmuseums Detmold das Haus Blomberg an seinem ursprünglichen Platz erleben.,"Das Projekt (Blomberg) VARsetzen setzt sich zusammen aus einem Teil in Virtual Reality (VR) und einem in Augmented Reality (AR). Wir haben den VR-Part entwickelt. Dieser richtet sich an Besucher*innen des LWL-Freilichtmuseums Detmold. Mithilfe einer VR-Brille können die Besucher*innen das Haus Blomberg, das im Freilichtmuseum wieder aufgebaut wurde und besucht werden kann, an seinem ursprünglichen Platz erleben. Sie können das Haus dabei nicht nur betrachten, sondern durch einige Interaktionen auch mehr Informationen über das Haus und seine Bewohner*innen erhalten.

Mithilfe von Fotos und Daten über das Haus aus dem Jahr 1877 haben wir 3D-Modelle konstruiert und diese in eine VR-Szene gesetzt. Im ersten Schritt kann man das Haus noch nicht betreten, gerne würden wir das Projekt noch durch den Innenraum des Hauses erweitern.

Der AR-Teil wurde von BOK+Gärtner entwickelt.

Projektpräsentation bei der Preisverleihung von Coding da Vinci Westfalen-Ruhrgebiet 2019: PDF",Repository (https://drive.google.com/drive/folders/1tH34alLXtvrpCsRYdppy1lqXTevmPqN1?usp=sharing),MIT license,Originalstandorte & originelle Standorte. Das Nicht-Sichtbare sichtbar machen,VR,"blombergVARsetzen_VR.jpg, CC BY 3.0, Die Weltenweberei",Westfalen-Ruhrgebiet 2019
Mein Stadtarchiv,https://codingdavinci.de/de/projects/2019_west/mein_stadtarchiv.html,Neue Datendarstellungsformen senken die Einstiegshürde für Stadtgeschichte und so wird die Geschichte einer Stadt zur Geschichte ihrer Einwohner*innen,"In kommunalen Archiven befindet sich die Geschichte einer Stadt – und damit auch die ganz persönliche Geschichte der Einwohner*innen. “Mein Stadtarchiv” hat es sich zum Ziel gemacht, diese Geschichte allen Menschen zur Verfügung zu stellen. Dabei möchte “Mein Stadtarchiv” mehr sein als eine reine Such-Datenbank, sondern eine Plattform, die mit neuen Datendarstellungsformen die Einstiegshürde für Stadtgeschichte senkt.

In der ersten Version aus dem Jahr 2017 ist “Mein Stadtarchiv” eine Such-Datenbank mit hochaufgelösten Bildern gewesen. Die Daten kamen ausschließlich aus Kerpen, und es gab abseits eines API-Endpunktes keine Möglichkeit zum Upload und Bearbeiten der Daten.

Seit Coding da Vinci Westfalen-Ruhrgebiet 2019 hat “Mein Stadtarchiv” nun folgende Features:

Schnelle Volltextsuche über alle Dokumente und Medien: Interessante Dokumente und Objekte können so schnell gefunden werden, selbst dann, wenn man die Kategorisierung des Archives nicht kennt.
	Galerie mit hochauflösenden Scans und Fotos: Bilder erzeugen einen erheblich tieferen Bezug zur Geschichte einer Stadt. Daher wurde eine zusäztliche Ansicht geschaffen, die Bilder in den Vordergrund stellt.
	Geografische Karte: Geolokalisierte Dokumente können nun auch auf einer Karte dargestellt werden. Da viele Menschen sehr räumlich denken (zum Beispiel: Wie sah ein Stadtteil früher aus?), ist dies ein ganz neuer Weg, Geschichte zu entdecken.
	Rückmelde-Funktion: Oft können Bürger*innen wertvolle Zusatzinformationen geben, so dass es eine Kommentar- und Rückmelde-Funktion gibt.
	Admin-Interface mit Geocoding, Unterstützung mehrerer XML-Formate und damit vieler verschiedener Archive, Bild-Upload u.v.m.: Um Archiven den Datenupload zu vereinfachen, wurde ein Verwaltungs-Interface geschaffen.
Außerdem gab es ein umfangreiches Refactoring. Die Open-Source-Software basiert nun auf Python 3.6+, Flask, ElasticSearch 7, MongoDB 4.2 und kann mit einfachen Mitteln via Docker eingesetzt werden.","Website (https://mein-stadtarchiv.de/), GitHub (https://github.com/okfde/mein-stadtarchiv)",BSD 3-Clause „New“ or „Revised“ license,"Arbeitssicherheit und Arbeitsschutz, Die Zerstörung einer Stadt - Moers im Zweiten Weltkrieg, Objekte zu Grubenunglücken, Sammlung von Aufklebern und Ansteckern","data enrichment, web app, website, tool, visualization","mein_stadtarchiv.jpg, CC0 1.0",Westfalen-Ruhrgebiet 2019
MadMemory,https://codingdavinci.de/de/projects/2019_west/madmemory.html,"Online-Spiel, das dazu einlädt, sich genauer mit Wörtern aus dem Rheinischen Mitmachwörterbuch und dem Sächsischen Wörterbuch zu beschäftigen","Für Coding da Vinci Westfalen-Ruhgebiet wurden Daten in verschiedenen Medienformen (Texte, Fotos, Sounds, Videos) bereitgestellt, von denen die Datengeber selbst meinten, sie wüssten gar nicht, was daraus für Anwendungen entstehen könnten.

Ich hatte mich in diesem Moment an ein Spiel auf meinem Kinder-Lerncomputer von Anfang der 90er-Jahre erinnert, das recht einfach aufgebaut war und mir gerade deswegen sehr viel Spaß machte. Bei diesem Spiel wurden zunächst nacheinander etwa zehn Worte jeweils für einige Sekunden eingeblendet. Im zweiten Durchgang wurden wieder zehn Worte eingeblendet, wobei eines dieser Worte auch schon in der ersten Runde vorkam. Dieses musste man dann am Ende der zweiten Runde eintippen.

Ich dachte mir, das Spielkonzept würde sich prima eignen für die Wörter aus dem Rheinischen Mitmachwörterbuch. Und warum eigentlich nur Wörter? Im Prinzip braucht es ja nur eine Anwendung, die Dinge aus einer Gesamtmenge zufällig auswählt und diese dann nacheinander anzeigt/abspielt. Bei der Arbeit setzte ich zufällig gerade das React-Framework Next.js in einem Projekt ein. Als Backend-Entwickler komme ich eher aus der Java-Welt, so dass ich die Gelegenheit genutzt habe, meinen Lernprozess hiermit zusätzlich zu fördern.

Welchen kulturellen Nutzen könnte diese Anwendung nun haben? Man geht zum Teil zu schnell über Dinge hinweg und vergisst sie gleich wieder. Würde man sich noch an alle Malereien aus der Gemäldesammlung erinnern, die man gerade besucht hat? Das Spiel lädt dazu ein, ein bisschen bewusster und genauer hinzuschauen/hinzuhören.

Bei der Entwicklung sind mir diverse Erweiterungsmöglichkeiten eingefallen, z.B. bei den Industrie-Sounds in der ersten Runde Bild, Ton und Titel anzeigen, in der zweiten Runde nur den Klang abspielen und in der Auswahlliste am Ende nur die Titel anzeigen. Oder ein Punktevergabe-System (nach Anzahl der Elemente, Anzeigezeit, Ähnlichkeit) als zusätzliche Motivation.","Website (https://madmemory.joergreichert.now.sh/), GitHub (https://github.com/joergreichert/madmemory)",MIT license,"Akten zur Elektrifizierung des Kreises Borken (Archiv), Bestand an Büchern zur Elektrifizierung des Kreises Borken um die Jahrhundertwende (Bibliothek), Lampensammlung Touché (Museum), Rheinisches Mitmachwörterbuch, Sound-Archiv ""Work with Sounds""/""Sounds of Changes""","web app, game","madmemory.jpg, CC0 1.0",Westfalen-Ruhrgebiet 2019
VisualizingDaVinci,https://codingdavinci.de/de/projects/2019_west/visualizing_davinci.html,"Dieser Knowledge Graph visualisiert den Impact, den Coding da Vinci bisher schon hatte und beantwortet viele Fragestellungen zum Projekt.","Visualize Coding da Vinci and its impact in a Knowledge Graph. A project started @CodingdaVinci West 2019.

Warum eigentlich nur mit einem Datensatz arbeiten? Wie wäre es stattdessen, alle Datensätze, Personen, Projekte, Artikel und weitere Infos zu Coding da Vinci zusammenzubringen? VisualizingDaVinci baut dafür mit einem Scraper für die Daten auf der Website codingdavinci.de einen Knowledge Graph mit Linked Open Data auf.

Dieser Knowledge Graph kann: 1) visualisiert werden, um zu zeigen, welchen riesigen Impact Coding da Vinci bisher schon hatte – etwas worauf alle Beteiligten stolz sein können! 2) Antworten geben auf verschiedene Fragen, wie “Welche Projekte haben bisher Coding da Vinci gewonnen?”, “Welche Coding da Vinci-Teilnehmer*innen findet man eigentlich auf Twitter?” oder “Welcher Datensatz wurde bisher am häufigsten ‘ins Rennen’ geworfen?”. 3) durch entsprechende Ontologien Teil des semantischen Webs werden.

Der Knowledge Graph ist nicht nur ein Projekt, sondern ein weiterer Datensatz für die nächsten Wettbewerbe – er kann wachsen (bspw. durch Einbindung von Wikidata, der GND, Twitter …), einheitliche und offene Daten für die Website generieren und prinzipiell auch die wahrscheinlichsten Gewinner vorhersagen! ;)

Projektpräsentation bei der Preisverleihung von Coding da Vinci Westfalen-Ruhrgebiet 2019: PDF","Website (http://lumos.codes/), GitHub (https://github.com/LuisMossburger/VisualizingDaVinci)",MIT license,"""Pressemappe 20. Jahrhundert"" mit Personen- und Firmendossiers, 3D-Scans biologischer Sammlungsobjekte, AAJB Fotosammlung zu Kinderrepubliken, AAJB Kleinformate zu Kinderrepubliken, Aaron Freimann: Virtuelle Judaica, Akten zur Elektrifizierung des Kreises Borken (Archiv), Alexander von Humboldts Kosmos-Vorträge, Altonaer Schiffsporträt-Sammlung, Amateurfilme des frühen 20. Jahrhunderts , Antike Keramiken aus der Lindenauschen-Vasensammlung, Arbeitssicherheit und Arbeitsschutz, Archäologie: Die Anfänge Hamburgs, Architekturzeichnungen zum Neuen Lusthaus in Stuttgart, August Mackes Tunisreise 1914, Außenansicht Museumsgebäude und Skulpturen im Außenraum für die Öffentlichkeitsarbeit, Autographen aus der Sammlung Clemens Brentano, Bauhaus: Bücher und Zeitschriften, Belege des Fränkischen Wörterbuchs, Berliner Adressbuchdaten (1799-1943), Berliner Denkmaldaten, Berliner Secession: Die Sammlung Dr. Jörg Thiede, Berliner Stadtansichten, Berliner Stadtansichten, Bertuchs ""Bilderbuch für Kinder"", Berufstätige Frauen im 19. Jahrhundert, Bestand an Büchern zur Elektrifizierung des Kreises Borken um die Jahrhundertwende (Bibliothek), Bibliographische Daten aus 350 Jahren (1450-1800), Bibliotheca Gastronomica, Bibliothekskataloge, Bilder von Belegexemplaren aus der Vogelsammlung, Bismarck-Album, Blumenmoden, Zeitgeschmack und Weltbezug von 1700 bis 1900, Botanik: Schriftprobensammlung des BGBM, Briefe und Texte aus dem Nachlass von Raoul Hausmann, Buch-Netzwerk in Leipzig 1913, Bücherwege: Das NS-Raubgut-Projekt der ZLB, Buchstadt Leipzig im Jahr 1912, Buchungsdaten der Museen in Hamburg, Carl Friedrich Mylius' „Frankfurter Stadtansichten"", Compact Memory, Darmstädter Stadtpläne, Das Datenportal der Deutschen Digitalen Bibliothek, Das Fahrrad: Technik und Touren, Das große Swimwear Quiz by BikiniARTmuseum, Das Kieler Gelehrtenverzeichnis, Das Werbemittelarchiv von Reemtsma, Datenbank: NS-Zwangsarbeit in Hamburg, Datenmaterial des Konzerthauses Berlin, DBpedia Dataset, Denkmalkartierung Hamburg, Der Eichstätter Dom in Bildern , Der ewig blühende Garten, Der Parzival-Zyklus von Edward von Steinle (1884), Deutsche Bibeln von 1483 bis 1670 im Bibelmuseum Münster, Deutsche Buchhändler im Porträt, Die Dresdner Bilderhandschrift des Sachsenspiegels, Die Mainzer Stolpersteine, Die Musikdatenbank MusiXplora, Die Online-Sammlung der Bayerischen Staatsgemäldesammlungen, Die Sammlung Cronstedt des Nationalmuseums in Stockholm, Die Schulbücher des Georg-Eckert-Instituts, Die Tanzfabrik Berlin von 1978 bis 1990, Die Zerstörung einer Stadt - Moers im Zweiten Weltkrieg, Digitale Quellenedition: DER STURM, Digitalisierte historische Zeitungen, Dreidimensionale mathematische Modelle, Druckbuchstaben aus Holz, Druckgrafische Arbeiten von Hermann Struck (1876-1944), Druckmaschinensounds, ECHO–Cultural Heritage Online, Editionsdaten der Augsburger ""Baumeisterbücher"", Eine Jüdische Familie aus Aschaffenburg, Eine sächsische Reise im 18. Jahrhundert, Einträge des Jüdischen Adressbuchs von Groß-Berlin 1931, Ergebnisse der Reichstagswahlen in München, Erhaltungswürdige Gebäude in Dänemark, Ethnologisches Museum Berlin, euregio-history.net, Europeana Collections: 1914 bis 1918, Fahrplandaten der Leipziger Verkehrsbetriebe, Fechtbuch von Hans Talhoffer, Figuren und Kleinplastiken aus chinesischem Speckstein, Filme über Krieg und Alltag vor hundert Jahren, Firmenakten des Börsenvereins der deutschen Buchhändler, Flachsanbau und -verarbeitung, Flora Graeca: Die Pflanzenwelt Griechenlands, Fotografien aus dem Atelier J. Hamann, Fotografien aus dem Ersten und Zweiten Weltkrieg, Fotografien aus der Deutschen Südsee um 1910, Fotografien überlebender Häftlinge des KZ Dachau, Fotografienachlässe - Oswald Lübeck & Franz Grasser, Fotos der Berliner Mauer, Fotos der Studentenrevolte 1967/68, Fotos und Grafiken des Staatstheaters Stuttgart, Fotos von Schwalbenschwänzen und Weißlingen, Fotosammlung Heil: Ansichten von Darmstadt (1890-1930), Fotosammlung Reichling und Filmbilder Winterberg, Fotosammlung Willy Pragher, Fotothek des Hermann Vogel zu Leipzig, Franz von Lenbachs Nachlass und Archiv, Fremde Münzen unter dem Fußboden, Frühe Luftfahrt im Bild, Gedenkorte für die Opfer der NS-Zeit in Frankfurt am Main, Gemälde aus dem Schwedischen Nationalmuseum, Gemäldesammlung 19. Jahrhundert, Geologische Sammlung des Stadtmuseums Berlin, Georg Schweinfurths botanische Zeichnungen, Geschichtliches Ortsverzeichnis (GOV), Glossar: Regionalgeschichte.net, Götter und Helden im Miniaturformat, Grabmale historischer jüdischer Friedhöfe, Grafiken von Robert Gerstenkorn, Graphiksammlung des Eugen Diederichs Verlags, Gut zu Fuß: Werkzeuge aus Schusterwerkstätten, Gutenberg Biographics - Mainzer Professorenkatalog, Hamburger Architekturfotos der 1920er Jahre, Handschriften aus Charlottenburg, Handwerkerbetriebe im Jahr 1844, Häuserbuch von Mainz um 1450, Heinrich Zille als Fotograf, Heinrich Zille: Ein Berliner unter Berlinern, Heinrich Zille: Zeichner und Berliner Schnauze, Herbarien aus den Jahren 1729 bis 1731, Hermann Walter: Fotos des Leipziger Stadtarchivs, Herzog August Bibliothek Wolfenbüttel, Historische Fahrkartensammlung, Historische Hamburg- und Elb-Karten 1588 – 1939, Historische Kartensammlung, Holocaust­ und Lagerliteratur (1933­ - 1949) ­, Illuminierte mittelalterliche Handschriften, Insektenkästen, hoch aufgelöst, Japanische Holzschnitte aus drei Jahrhunderten, Jesuitentafeln aus Landsberg am Lech, Kartei der Reichsvereinigung der Juden, Kartensammlung der Deutschen Bahn, Kein Bier ohne Alster – Brauhaus der Hanse, KENOM –  das virtuelle Münzkabinett, Klavier- und Orgelwerke aus dem Andreas-Bach-Buch, Kleider in Bewegung, Kolorierte Glas-Stereobilder des Kaiserpanoramas, Kriegssammlung der Deutschen Bücherei 1914-1918, Kunst im öffentlichen Raum in Schweden, Kunsthistorische Glasdiasammlung, Künstlerkreis “Kreuzberger Boheme”, Lampensammlung Touché (Museum), Lauter langweilige Sachen, Lehrbücher der Experimentalphysik, Leipzig Data, Linguistische Beispielsätze aus vielen Sprachen, Liste des ""unerwünschten Schrifttums"", Manier, Mythos und Moral – Niederländische Druckgrafik um 1600, Mapping the East: Karten aus Ost- und Südosteuropä, Max Reinhardts Regiebuch zu „Dantons Tod“, Maya-Handschrift aus dem 13. Jahrhundert, Medici-Zyklus, Meissner Porzellan, Memories of Borderline, Mikroskopische Tausendfüßer-Präparate, Militärhistorische Bildsammlung, Mineraliensammlung des Museums für Naturkunde, Mineralogische Sammlungsobjekte, MKG Sammlung Online, Modelle antiker Bauwerke aus Kork, Modellfrüchte aus Wachs, Monster- und Drachenbilder in der Bibel, Mühlen als technische Zeichnungen, München: Historische Stadtansichten , Münchner Speisekarten der letzten hundert Jahre, Muscheln und Schnecken des Naturkundemuseums Berlin, Musikwelten Indonesiens, Nachweise von Familiennamen, Nationalmuseum, Schweden, Naturkundliche Zeichnungen von C. G. Ehrenberg, Nordrhein-Westfälische Bibliographie (NWBib), Notenblätter des Darmstädter Hofkapellmeisters Christoph Graupner, Notenrollen für selbstspielende Klaviere, NS-Zwangsarbeiterlager in Berlin, Objekte und Lehrmittel der Museumsschule, Objekte zu Grubenunglücken, Online-Sammlung des Dänischen Nationalmuseums, Opferlisten aus dem Kiel des 2. Weltkriegs, Originalstandorte & originelle Standorte. Das Nicht-Sichtbare sichtbar machen, Ostberliner Fotoarchiv (1962-1975), Our Art - Zeitgenössische Kunst aus Dänemark, Patente und ­Zeichnungen aus den Jahren 1840­-1877, Paul Hector Mairs ritterliches Lernbuch, Per Postbeutel um die Welt, Pessach-Haggada, Pflanzenbelege aus dem Botanischen Garten Berlin, Photogrammetrisch dokumentierte Maschinenhalle, Politische Karikatur für Kinder, Portraitindex der UB Leipzig, Portraits als Fabelwesen, Portraits der Sammlung Nicola Pio, Porträts aus fünf Jahrhunderten, Porträtsammlung Friedrich Nicolas Manskopf, Posthornklänge und Postillone, Raubfliegen (Asilidae) im Bild, Reformation im Kontext frühneuzeitlicher Staatswerdung, Regesten Kaiser Friedrichs III. (1440-1493), Regesten von Urkunden der Kaiser, Könige und einiger Päpste des Mittelalters (800 bis 1500), Reisetagebücher und Exkursionsberichte, Rheinisches Mitmachwörterbuch, Rheinland-Pfalz: Parlamentsdokumente zur Flüchtlingsthematik, Same Same, But Different - Abgüsse antiker Statuen, Sammlung Theodor Bienert, Sammlung von Aufklebern und Ansteckern, Schaufenster der Archäologie Westfalens (Dauerausstellung), Schiffsgeschichten - Fotoalben des Josef Wallner Schiff- und Hafenbetriebs, Sebastian Brants ""Narrenschiff"" in lateinischer Sprache, Siegelmarken zwischen 1850­-1945, Sorben in der Lausitz 1884, Sound-Archiv ""Work with Sounds""/""Sounds of Changes"", Spielen im 20. Jahrhundert: Konsolen und Computer, Spielkultur im 19. und 20. Jahrhundert, Städel Museum, Stadtpläne der Wissenschaftsstadt Darmstadt, Stammbücher, Stammbücher der Herzogin Anna Amalia Bibliothek, Sterne und Himmelskörper auf Photoplatte, Stoffmusterbücher aus dem Historischen Archiv der HTW, Studierendendaten der HMT Leipzig 1843-1893, Stuttgarter Luftangriffspläne, Tanz und Theater: Mediathek des Mime Centrums , Tausendmal Berlin, Telefone: Ruftöne und Geräusche, Texte klassischer Philologien, TextGrid’s Digitale Bibliothek, Theaterbausammlung des Architekturmuseums der TU Berlin, Thematischer Querschnitt zum Thema ""Tod und Bestattung"", Tierdarstellungen aus mehreren Jahrhunderten, Tierstimmenarchiv, Titeldaten und Bestandsnachweise der Bibliotheken in Bayern, Berlin und Brandenburg, Urkunden aus dem Klosterarchiv St. Emmeram in Regensburg, Verknüpfung zu Wikidata, Verknüpfung zur Gemeinsamen Normdatei, Vivatbänder des Gleimhauses, Volksliedarchiv für Westfalen (älterer Teilbestand), Wasserzeichensammlung der UB Leipzig, Werke von Wilhelm Lehmbruck, Wilhelmshöher Kriegskarten, Wirtschaftsgeschichte(n) aus Rheinland-Pfalz, Wissenschaftliche Instrumente des Ernst-Haeckel-Hauses, Zeichnungen bergbaulicher Anlagen, Zeppelin auf großer Fahrt, Zeugnisse und Geschichten aus Berlin, Zoosphere: Hochauflösende sphärische Bildsequenzen","data enrichment, tool, visualization","visualizing_davinci.jpg, CC0 1.0",Westfalen-Ruhrgebiet 2019
